"Borrower ID","Product","Acquired","Market","Type of loan","Term","Loan size","Loan status","Borrower origination fee","Borrower rate","Loan servicing fee","Investor rate","Transaction price","Transaction date","Amount invested","Capital outstanding","Interest outstanding","Amount repaid","Capital repaid","Interest repaid","Amount in arrears","Days in arrears","Repayment day","Covered by Safeguard","Comment","Loan start date","Last repayment date","Default price","Default date","Monthly repayment amount","Type of asset","Loan purpose","Percentage repaid"
"8fa2e9ab980d","Zopa Plus","29-01-2019","C","Unsecured","60","8000.0","Settled","640.0","0.1675","0.006","0.1615","","","10.0","9.88889953","4.617044495175615","0.2366422","0.11110047","0.12554173","0.99936041",">90 days","29","false","[08/07/2019] set to default [02/07/2019] Borrower has been notified of missed payment.[30/05/2019] Borrower has been notified of missed payment.[30/04/2019] Borrower has been notified of missed payment.[01/04/2019] Borrower has been notified of missed payment.","29-01-2019","29-01-2024","0.0","08-07-2019","0.24099074","","Car","0.011110047"
"aab823a0f50b","Zopa Plus","23-12-2018","A","Unsecured","60","2500.0","Withdrawn","50.0","0.0901","0.003","0.0871","","","20.0","16.07338867","2.744930544014853","5.73846751","3.92661133","1.81185618","0.0","","30","false","","23-12-2018","30-12-2023","","","0.41185558","","Home improvements","0.1963305665"
"c66500072225","Zopa Plus","22-01-2019","A*","Unsecured","48","10000.0","Withdrawn","0.0","0.0334","0.006","0.0274","","","10.0","7.42009097","0.305054191977117","2.83839311","2.57990903","0.25848408","0.0","","22","false","","22-01-2019","22-01-2023","","","0.22262701","","Car","0.257990903"
"cbee92a3d706","Zopa Plus","03-10-2019","A","Unsecured","60","8000.0","Withdrawn","460.0","0.0546","0.003","0.0516","","","10.0","9.26440223","1.131812233192867","0.93952069","0.73559777","0.20392292","0.0","","3","false","","03-10-2019","03-10-2024","","","0.1902185","","Car","0.073559777"
"5229a87079e0","Zopa Plus","14-08-2019","A*","Unsecured","60","21500.0","Withdrawn","760.0","0.0444","0.003","0.0414","","","10.0","8.94210972","0.842073603655483","1.28423063","1.05789028","0.22634035","0.0","","14","false","","14-08-2019","14-08-2024","","","0.18575855","","Consolidate existing debts","0.105789028"
"1a4dbd976b12","Zopa Plus","12-12-2018","A","Unsecured","60","11000.0","Withdrawn","600.0","0.0494","0.0005","0.0489","","","20.0","15.44257072","1.457272938718996","5.59765897","4.55742928","1.04022969","0.0","","1","false","","12-12-2018","01-12-2023","","","0.3758832","","Consolidate existing debts","0.227871464"
"e87381d6c3ef","Zopa Plus","18-04-2019","D","Unsecured","60","12000.0","Default","240.0","0.2474","0.01","0.2374","","","10.0","9.42147588","5.461134045256463","1.62774915","0.57852412","1.04922503","0.4118159",">90 days","18","false","[12/12/2019] Customer has bankruptcy order[18/11/2019] Borrower has been notified of missed payment.[12/11/2019] Borrower in financial difficulties","18-04-2019","18-04-2024","0.0","12-12-2019","0.27796033","","Home improvements","0.057852412"
"3f561816eb47","Zopa Plus","31-05-2019","D","Unsecured","36","7500.0","Withdrawn","290.0","0.2166","0.01","0.2066","","","10.0","7.29378002","1.783449872074461","3.95988488","2.70621998","1.2536649","0.0","","26","false","","31-05-2019","26-06-2022","","","0.32726978","","Consolidate existing debts","0.270621998"
"fc0d311d0506","Zopa Plus","24-12-2018","A","Unsecured","60","11000.0","Withdrawn","660.0","0.0727","0.003","0.0697","","","20.0","15.94037788","2.198777618136081","5.51304668","4.05962212","1.45342456","0.0","","1","false","","24-12-2018","01-01-2024","","","0.39638684","","Home improvements","0.202981106"
"8c69605f143c","Zopa Plus","22-01-2019","A*","Unsecured","60","25000.0","Withdrawn","0.0","0.0354","0.006","0.0294","","","10.0","7.97845398","0.466508785425823","2.31216082","2.02154602","0.2906148","0.0","","1","false","","22-01-2019","01-02-2024","","","0.18184504","","Consolidate existing debts","0.202154602"
"eff97f2f56c8","Zopa Plus","23-12-2018","A","Unsecured","12","4000.0","Closed","40.0","0.0791","0.003","0.0761","","","20.0","0.0","0.0","20.45854473","20.0","0.45854473","0.0","","23","false","","23-12-2018","23-12-2019","","","1.736413","","Home improvements","1.0"
"98d79f8b8cb6","Zopa Plus","12-12-2018","B","Unsecured","24","2200.0","Closed","180.0","0.0927","0.003","0.0897","","","20.0","0.0","0.0","20.86693371","20.0","0.86693371","0.0","","12","false","","12-12-2018","12-12-2020","","","0.91275911","","Car","1.0"
"8a57ba2246b3","Zopa Plus","24-12-2018","D","Unsecured","36","4000.0","Withdrawn","370.0","0.2236","0.01","0.2136","","","20.0","13.6186878","2.686185797928588","10.28882311","6.3813122","3.90751091","0.0","","24","false","","24-12-2018","24-12-2021","","","0.74684688","","Consolidate existing debts","0.31906561"
"cdfe06f73060","Zopa Plus","18-12-2018","D","Unsecured","60","7500.0","Withdrawn","160.0","0.2466","0.01","0.2366","","","30.0","25.62421478","12.168579358934505","11.65283815","4.37578522","7.27705293","0.0","","1","false","","18-12-2018","01-01-2024","","","0.83276314","","Consolidate existing debts","0.14585950733333"
"0069008b6bcc","Zopa Plus","18-12-2018","A*","Unsecured","11","1164.0","Closed","0.0","0.1161","0.0741","0.042","","","7.0","0.0","0.0","7.04740613","7.0","0.04740613","0.0","","18","false","","18-12-2018","18-11-2019","","","0.67200885","","Other","1.0"
"1975efac16b6","Zopa Plus","18-12-2018","A*","Unsecured","11","3460.0","Closed","0.0","0.1161","0.0741","0.042","","","30.0","0.0","0.0","30.62761754","30.0","0.62761754","0.0","","18","false","","18-12-2018","18-11-2019","","","2.88003791","","Other","1.0"
"09dbd5dd6b66","Zopa Plus","22-01-2019","C","Unsecured","36","15000.0","Withdrawn","940.0","0.151","0.006","0.145","","","10.0","6.86444719","0.972469089742946","4.40309266","3.13555281","1.26753985","0.0","","22","false","","22-01-2019","22-01-2022","","","0.34248506","","Consolidate existing debts","0.313555281"
"888ed53b3185","Zopa Plus","25-12-2018","A*","Unsecured","48","18000.0","Closed","0.0","0.0334","0.003","0.0304","","","20.0","0.0","0.0","20.62977051","20.0","0.62977051","0.0","","25","false","","25-12-2018","25-12-2022","","","0.44525402","","Consolidate existing debts","1.0"
"412e81b08613","Zopa Plus","08-03-2019","A*","Unsecured","60","20000.0","Withdrawn","100.0","0.0333","0.006","0.0273","","","10.0","8.12883871","0.45585053027037","2.12415831","1.87116129","0.25299702","0.0","","11","false","","08-03-2019","11-03-2024","","","0.18093492","","Car","0.187116129"
